#sample	CD24	NBR2	CACNG3	CENPE	CENPF	FUT9	IQGAP2	TMSB15A	FAM107A	SLC38A10	SEZ6	MITD1	TMEM155	CSRP2	NKAIN2	ACSBG1	MLC1	SATB2	GABRA1	GFAP	GJA1	GLI3	TNC	APOE	KCNK1	TM4SF1	MGST1	NELL2	NUSAP1	GULP1	BACH2	RYR3	NEUROD6	MRPS5	SLA	SSRP1	TFAP2C	TOP2A	VCAM1	VIM	LRRC2	SH3TC2	FAT4	VASH2	CSRNP3	MROH9	EOMES	ADGRV1	ENC1	IFITM1
5:neurons:SRR1974634	0.215121	0	0.946735	0	0	0.824939	0	0	0	0.112993	0.249499	0.399042	0.517774	0	0.245041	0	0	0.917762	0.988857	0	0	0	0	0	0.699242	0	0	0.923668	0	0	0	0.225540	0.975596	0.675618	0.959661	0	0	0	0	0	0.049922	0.059338	0	0	0.895142	0	0	0.071150	0.991085	0
2:astrocytes:SRR1974637	0	0	0	0	0	0.889232	0	0	0.668240	0	0	0	0	0	0	0.684765	0.344652	0	0	0.495006	0.990194	0.783003	0	0.788633	0	0	0.946432	0	0	0	0	0.994008	0	0.951335	0	0	0	0	0	0	0.116488	0	0	0.132195	0	0	0	0.997095	0	0.430543
5:neurons:SRR1974633	0	0.103158	0.333156	0.057052	0	0.976516	0	0	0	0	0	0.333554	0.871567	0	0.797532	0	0	0.695900	0.817036	0	0	0.086374	0	0	0.870904	0	0	0.902614	0	0	0.108332	0.086374	0.947725	0.724957	0.466897	0.330171	0	0	0	0.520963	0.070187	0.046305	0	0	0.888152	0	0	0	0.858432	0
5:neurons:SRR1974632	0.779447	0.658654	0.527885	0	0	0.840144	0.020673	0	0	0	0.304748	0.143810	0.972837	0	0.832212	0	0	0.976322	0.997476	0	0	0	0	0	0.881370	0	0	0.960337	0	0.049339	0.076502	0.883173	0.867308	0.235337	0.943870	0.514183	0	0	0	0	0	0	0	0	0.728606	0	0	0	0.985697	0
5:neurons:SRR1974631	0.119968	0	0	0	0	0.980354	0.648953	0	0.963768	0	0	0.574718	0.276409	0	0	0	0	0.062319	0.987762	0	0	0	0	0	0.408615	0	0	0	0	0	0	0	0	0.616425	0	0	0	0	0	0	0.801691	0	0.920451	0	0.779710	0	0	0	0.992754	0
5:neurons:SRR1974630	0	0	0.645503	0	0	0.393223	0	0	0.934482	0.232185	0.907126	0	0	0	0.761680	0	0	0	0.997974	0	0	0	0	0	0	0	0	0.933806	0	0	0.121243	0.805696	0	0.771868	0	0	0	0	0	0.555556	0	0	0	0	0.179556	0	0	0	0	0
5:neurons:SRR1974629	0.895620	0.056052	0.829975	0.512670	0	0.714975	0	0	0	0.010197	0	0	0.847955	0.448111	0.863883	0	0	0.593339	0.984313	0	0	0	0	0	0.701219	0	0	0.957886	0	0	0	0.043442	0.702787	0.666707	0.205442	0.611440	0	0	0	0	0	0	0	0	0.927235	0	0	0.090986	0.937613	0
5:neurons:SRR1974628	0.733529	0	0.450720	0	0	0	0.829021	0	0.786343	0.402041	0.713524	0	0	0	0	0	0	0.112830	0.991864	0	0	0.075487	0	0	0	0	0	0	0	0	0.125767	0.969859	0	0	0	0	0	0	0	0	0.939851	0	0.943452	0	0.979061	0	0	0.051014	0.852761	0
5:neurons:SRR1974627	0	0	0	0	0	0	0	0	0	0	0.930484	0	0	0	0	0	0	0	0.984024	0	0.911341	0	0	0.021301	0	0	0	0	0	0.969056	0.088874	0	0	0	0	0.339666	0	0	0	0	0	0	0	0	0.674583	0	0	0.061816	0.257628	0
5:neurons:SRR1974624	0.725117	0.205333	0	0	0	0	0.334787	0	0.900344	0	0.835709	0	0	0	0	0	0	0	0.965102	0	0	0.119931	0	0	0.669575	0	0	0.746867	0	0	0	0.985869	0	0.545220	0	0	0.074957	0	0	0	0.066663	0	0.751167	0	0.781334	0	0	0	0.752765	0
5:neurons:SRR1974625	0	0	0.811371	0	0	0	0	0	0.999331	0	0	0	0.636455	0	0	0	0	0	0.712040	0	0.593645	0	0	0	0	0	0	0	0	0	0	0	0	0.391639	0	0	0	0	0	0	0.234448	0	0	0	0.745151	0	0	0	0	0
5:neurons:SRR1974623	0.120284	0	0	0.594862	0	0	0	0	0.886633	0	0	0	0.145167	0	0	0	0	0	0.364894	0	0.201222	0	0	0	0	0	0	0	0	0	0	0.006737	0	0	0	0	0	0	0	0	0	0.094592	0.914301	0	0.631513	0	0	0	0	0
5:neurons:SRR1974622	0.364302	0.088525	0.715391	0	0	0.455429	0	0	0	0	0.258455	0	0.194372	0	0.360400	0	0	0	0.962207	0.232576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903464	0	0.358140	0	0	0	0	0	0	0	0	0.796111	0	0	0.132206	0	0
5:neurons:SRR1974620	0.532493	0	0	0	0	0.216470	0	0	0.487018	0	0.323398	0	0	0	0.612767	0	0	0	0.861576	0	0	0.147488	0	0	0	0	0.323398	0	0	0	0.096789	0.216470	0	0.807651	0	0.299585	0	0	0	0.323398	0.513366	0	0	0	0.710017	0	0	0.323398	0	0
5:neurons:SRR1974621	0.011169	0	0.788488	0	0	0.126920	0	0	0.958370	0	0.626031	0.224330	0	0	0	0	0	0	0.996573	0	0	0	0	0	0	0	0.397703	0.959893	0	0	0	0.093921	0	0.414520	0	0.712146	0	0	0	0	0	0	0.380505	0	0.954817	0	0	0	0.951263	0
5:neurons:SRR1974617	0.153905	0	0.839181	0	0	0.788476	0	0	0.887964	0	0.373111	0	0.436428	0	0	0	0	0	0.984635	0.685275	0	0.062036	0	0	0.771383	0	0	0	0	0	0.296415	0.900000	0	0.828425	0	0.724456	0	0	0	0	0	0	0.674648	0	0.985147	0	0	0.035723	0.385275	0.104673
6:oligodendrocytes:SRR1974616	0.063605	0	0	0	0.690524	0.809620	0	0	0	0	0.036656	0.489206	0	0	0.917850	0.552738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.756810	0	0	0	0	0	0	0	0	0	0	0.149667	0	0.127499	0.526224	0	0
5:neurons:SRR1974615	0.518964	0.525245	0.582377	0	0	0.984418	0	0	0.429641	0	0	0.408805	0	0	0.879212	0	0	0	0.752386	0	0	0	0	0	0	0	0	0.025849	0.008274	0	0.136550	0.247252	0	0.891654	0	0.406692	0.063232	0	0	0	0.743810	0.082196	0	0.970649	0.939969	0	0	0	0	0
5:neurons:SRR1974618	0.260691	0.175219	0	0	0	0.556330	0.017580	0	0.858832	0.280488	0	0.366065	0	0	0	0	0	0	0.038803	0.297593	0	0	0	0	0	0	0	0	0	0	0.052318	0.063985	0	0.135466	0	0	0	0	0	0	0	0	0.035846	0.038803	0.199029	0	0	0	0	0
5:neurons:SRR1974614	0.957237	0	0.906839	0	0	0	0	0	0	0	0.075428	0.739182	0	0	0	0	0	0	0	0	0.327338	0.301290	0	0.422366	0.807908	0	0	0.957746	0.015612	0.472086	0.265230	0.892754	0	0	0	0.584337	0	0	0	0	0.280248	0.116240	0.928220	0	0.292550	0	0	0.751909	0.962158	0
5:neurons:SRR1974613	0	0	0	0.053651	0	0.189671	0	0	0	0	0.033272	0.202100	0	0	0.490582	0	0	0	0.715918	0	0.315887	0	0	0	0	0	0	0.459626	0	0	0	0	0	0.912459	0	0.559055	0	0	0	0	0	0	0.281226	0	0.864366	0	0	0	0	0
5:neurons:SRR1974612	0.430262	0	0.881936	0	0	0	0.430941	0.380956	0	0	0.468109	0	0	0	0	0	0	0	0.582630	0	0.221426	0.075090	0	0	0	0	0	0.126583	0	0.802774	0.603362	0.934409	0	0.221426	0	0	0	0	0	0	0	0.042823	0.601327	0	0.988088	0	0	0.443305	0.992310	0
5:neurons:SRR1974611	0	0	0	0	0	0	0.383508	0	0	0.049671	0.759552	0	0	0	0	0	0	0	0.772525	0	0.441443	0.453528	0	0.342189	0.750311	0.393638	0	0.458059	0	0	0.775369	0.895859	0	0.342189	0	0.508086	0	0	0	0	0.454683	0	0.068331	0	0.493158	0	0	0.391505	0.723832	0
2:astrocytes:SRR1974610	0	0	0	0	0	0.550577	0.051374	0	0.611708	0	0	0	0	0	0	0.472322	0.566308	0.401633	0.879729	0.465054	0.994425	0.678216	0.264436	0.521406	0	0	0.675627	0	0	0.229789	0	0.974512	0	0.752688	0	0	0	0	0	0.393070	0.369176	0.141776	0	0	0.077061	0	0	0.990044	0	0.041119
5:neurons:SRR1974609	0.086916	0	0.751435	0	0	0.433700	0	0	0	0	0	0.813049	0.416188	0.873550	0.829097	0	0	0.955488	0.968842	0	0.313283	0.158604	0	0	0.916013	0	0.191754	0.995197	0.651868	0.621881	0.073094	0	0.550545	0.579126	0	0.549139	0	0	0	0	0.216704	0.124048	0.423919	0	0.717231	0.041057	0	0.172016	0.907930	0
5:neurons:SRR1974607	0	0	0	0	0	0.390730	0	0	0.961580	0	0.661689	0	0	0	0	0	0	0	0.942915	0	0.744906	0.312879	0	0.226940	0.755016	0	0.291647	0	0	0	0.542231	0.652201	0	0.543086	0	0	0	0	0	0	0.464458	0.267615	0	0	0.928605	0	0	0.562140	0.814901	0
4:microglia:SRR1974606	0.234401	0.412810	0	0	0	0.429959	0	0	0.632025	0	0	0	0	0	0	0	0	0	0.505165	0	0.248554	0.329752	0	0	0	0	0	0	0	0.385434	0	0	0	0	0.982231	0	0	0	0	0.731612	0.548657	0.272211	0	0	0	0	0	0.581818	0	0
5:neurons:SRR1974605	0.225220	0.037999	0.715754	0.227857	0	0.879648	0	0	0.846788	0	0.282894	0	0	0	0.193103	0.267816	0.165788	0.815416	0.947938	0	0.966193	0.839757	0.626302	0.252874	0.972143	0	0	0.518729	0	0	0.079919	0.759432	0.449290	0.490737	0.903854	0	0.551116	0	0	0	0.597972	0.112576	0	0	0	0	0	0.997025	0.926978	0
2:astrocytes:SRR1974604	0.089037	0	0	0	0	0.730540	0	0	0.970923	0	0	0	0	0.685750	0	0.849377	0.441033	0	0	0.739209	0.988441	0.851725	0	0.804768	0	0	0.893264	0	0	0	0.219884	0.653242	0	0.581001	0	0.354705	0.417374	0	0	0.908254	0.340798	0.092920	0	0.781651	0.257721	0	0	0.994582	0	0.218349
5:neurons:SRR1974603	0.291089	0.540303	0	0	0	0.491865	0.622481	0.189037	0.829913	0	0.797375	0	0	0	0	0	0	0	0.903679	0.365040	0.670179	0	0	0	0	0	0	0	0.785173	0	0	0	0	0.279349	0	0	0	0.079774	0	0.746534	0.518118	0	0	0	0.071825	0	0	0.527547	0.810501	0
5:neurons:SRR1974602	0	0	0	0.474051	0	0.844522	0	0	0.126646	0	0.388967	0.308019	0	0	0.568382	0	0	0	0.990969	0	0.539169	0	0	0	0.353498	0	0	0	0	0	0	0.757480	0	0.426939	0.188554	0.152432	0	0	0	0	0	0	0.786313	0	0.975628	0	0	0	0.750734	0
